gCa,metric,n,mean,sd,min,max,seeds,values,sources
0.4,ICa_rmse_norm,5,0.7242919047642109,0.3184350839738513,0.4366381764085208,1.1791588919620495,1111;2222;3333;4444;5555,1.179158892;0.9262768851;0.5988678016;0.4805177688;0.4366381764,new-sweep;published
1.0,ICa_rmse_norm,5,0.31196923397866433,0.09658260510624679,0.16984937445372675,0.43280479356019835,1111;2222;3333;4444;5555,0.3325491937;0.4328047936;0.2799970424;0.3446457658;0.1698493745,new-sweep;published
2.0,ICa_rmse_norm,5,0.14034112152546374,0.024583934920143758,0.11229216448147902,0.16551829828250433,1111;2222;3333;4444;5555,0.1122921645;0.1655182983;0.1156576674;0.1521279071;0.1561095704,published
4.0,ICa_rmse_norm,5,0.09324722768825978,0.0441092449693115,0.05346700262622536,0.15684293832161497,1111;2222;3333;4444;5555,0.06772530982;0.1568429383;0.05346700263;0.1215120928;0.06668879483,new-sweep;published
0.4,ICa_rmse,5,1.2730634674060668,0.5597026136574934,0.7674642049761042,2.072567838670779,1111;2222;3333;4444;5555,2.072567839;1.628085659;1.052609749;0.8445898854;0.767464205,new-sweep;published
1.0,ICa_rmse,5,1.3551273713578968,0.41953409990895785,0.7377892152852581,1.8800110983009308,1111;2222;3333;4444;5555,1.444522298;1.880011098;1.216247036;1.49706721;0.7377892153,new-sweep;published
2.0,ICa_rmse,5,1.1890720989803751,0.2082929848283161,0.9514209254399828,1.4023914603156933,1111;2222;3333;4444;5555,0.9514209254;1.40239146;0.9799359147;1.288938323;1.322673872,published
4.0,ICa_rmse,5,1.4777782928364775,0.6990415301886989,0.8473428950426025,2.4856405427006067,1111;2222;3333;4444;5555,1.073307971;2.485640543;0.847342895;1.925718733;1.056881323,new-sweep;published
0.4,V_rmse,5,0.21536875059604435,0.15566334732544684,0.07660320853262514,0.47943823058461665,1111;2222;3333;4444;5555,0.155995023;0.1489588474;0.4794382306;0.07660320853;0.2158484435,new-sweep;published
1.0,V_rmse,5,0.21061473232503258,0.07791092370943156,0.10736010972596685,0.28989811903237395,1111;2222;3333;4444;5555,0.1073601097;0.2257856578;0.2744463435;0.289898119;0.1555834315,new-sweep;published
2.0,V_rmse,5,0.24523933188134714,0.028375840021892113,0.21544424347764016,0.2837986139923001,1111;2222;3333;4444;5555,0.219197034;0.2154442435;0.283798614;0.2569377906;0.2508189773,published
4.0,V_rmse,5,0.18733469900570077,0.04446428118526387,0.1437412065254328,0.23631908236997518,1111;2222;3333;4444;5555,0.1498041623;0.2324166504;0.1437412065;0.1743923934;0.2363190824,new-sweep;published
0.4,rollout_horizon_ms,5,70.0,0.0,70.0,70.0,1111;2222;3333;4444;5555,70;70;70;70;70,new-sweep;published
1.0,rollout_horizon_ms,5,70.0,0.0,70.0,70.0,1111;2222;3333;4444;5555,70;70;70;70;70,new-sweep;published
2.0,rollout_horizon_ms,5,70.0,0.0,70.0,70.0,1111;2222;3333;4444;5555,70;70;70;70;70,published
4.0,rollout_horizon_ms,5,70.0,0.0,70.0,70.0,1111;2222;3333;4444;5555,70;70;70;70;70,new-sweep;published
