model,observed,gCa,noise_level,t_train_end,seed,window,metric,value
UDE,full,0.4,0.02,30.0,2222,train,V_rmse,0.35544912112157595
UDE,full,0.4,0.02,30.0,2222,train,m_rmse,0.003439778479570614
UDE,full,0.4,0.02,30.0,2222,train,h_rmse,0.004869907026644772
UDE,full,0.4,0.02,30.0,2222,train,n_rmse,0.0022152546450103098
UDE,full,0.4,0.02,30.0,2222,train,p_rmse,0.0030045181399636733
UDE,full,0.4,0.02,30.0,2222,train,s_rmse,0.0005407871972904581
UDE,full,0.4,0.02,30.0,2222,train,gate_rmse_mean,0.0028140490976959654
UDE,full,0.4,0.02,30.0,2222,train,V_rmse_vs_noisy,0.6208370549724055
UDE,full,0.4,0.02,30.0,2222,train,ICa_rmse,3.4147139860312987
UDE,full,0.4,0.02,30.0,2222,train,ICa_rmse_norm,1.8178587544373368
UDE,full,0.4,0.02,30.0,2222,forecast,V_rmse,0.6925050068807048
UDE,full,0.4,0.02,30.0,2222,forecast,m_rmse,0.005766324784934265
UDE,full,0.4,0.02,30.0,2222,forecast,h_rmse,0.00563428832833035
UDE,full,0.4,0.02,30.0,2222,forecast,n_rmse,0.002664564181759431
UDE,full,0.4,0.02,30.0,2222,forecast,p_rmse,0.0037798538924405747
UDE,full,0.4,0.02,30.0,2222,forecast,s_rmse,0.0010570306798564934
UDE,full,0.4,0.02,30.0,2222,forecast,gate_rmse_mean,0.003780412373464223
UDE,full,0.4,0.02,30.0,2222,forecast,V_rmse_vs_noisy,0.8725016442007909
UDE,full,0.4,0.02,30.0,2222,forecast,ICa_rmse,3.1395374349243115
UDE,full,0.4,0.02,30.0,2222,forecast,ICa_rmse_norm,1.7861965306829117
UDE,full,0.4,0.02,30.0,2222,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,0.4,0.02,30.0,2222,forecast,spike_count_diff,0.0
UDE,full,0.4,0.02,30.0,2222,forecast,rollout_horizon_ms,70.0
UDE,full,0.4,0.02,30.0,2222,train,V_rmse,0.16832053447577683
UDE,full,0.4,0.02,30.0,2222,train,m_rmse,0.0018311729264786874
UDE,full,0.4,0.02,30.0,2222,train,h_rmse,0.0007641758559886892
UDE,full,0.4,0.02,30.0,2222,train,n_rmse,0.00046632223215449503
UDE,full,0.4,0.02,30.0,2222,train,p_rmse,0.002132618321904737
UDE,full,0.4,0.02,30.0,2222,train,s_rmse,0.0003505788852348953
UDE,full,0.4,0.02,30.0,2222,train,gate_rmse_mean,0.0011089736443523008
UDE,full,0.4,0.02,30.0,2222,train,V_rmse_vs_noisy,0.5027407722073124
UDE,full,0.4,0.02,30.0,2222,train,ICa_rmse,2.0246963131877878
UDE,full,0.4,0.02,30.0,2222,train,ICa_rmse_norm,1.077868287962576
UDE,full,0.4,0.02,30.0,2222,forecast,V_rmse,0.14895884736462653
UDE,full,0.4,0.02,30.0,2222,forecast,m_rmse,0.0014070782258171703
UDE,full,0.4,0.02,30.0,2222,forecast,h_rmse,0.0006827830603495531
UDE,full,0.4,0.02,30.0,2222,forecast,n_rmse,0.00041486356600869663
UDE,full,0.4,0.02,30.0,2222,forecast,p_rmse,0.0017909848141177504
UDE,full,0.4,0.02,30.0,2222,forecast,s_rmse,0.0003918791617760379
UDE,full,0.4,0.02,30.0,2222,forecast,gate_rmse_mean,0.0009375177656138417
UDE,full,0.4,0.02,30.0,2222,forecast,V_rmse_vs_noisy,0.5646537681897219
UDE,full,0.4,0.02,30.0,2222,forecast,ICa_rmse,1.6280856591114208
UDE,full,0.4,0.02,30.0,2222,forecast,ICa_rmse_norm,0.9262768851264008
UDE,full,0.4,0.02,30.0,2222,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,0.4,0.02,30.0,2222,forecast,spike_count_diff,0.0
UDE,full,0.4,0.02,30.0,2222,forecast,rollout_horizon_ms,70.0
UDE,full,0.4,0.02,30.0,3333,train,V_rmse,0.15547211260674335
UDE,full,0.4,0.02,30.0,3333,train,m_rmse,0.0020389589569688392
UDE,full,0.4,0.02,30.0,3333,train,h_rmse,0.0008689589270967149
UDE,full,0.4,0.02,30.0,3333,train,n_rmse,0.0005499439393581638
UDE,full,0.4,0.02,30.0,3333,train,p_rmse,0.0016400694119377756
UDE,full,0.4,0.02,30.0,3333,train,s_rmse,0.0002986363995687071
UDE,full,0.4,0.02,30.0,3333,train,gate_rmse_mean,0.0010793135269860402
UDE,full,0.4,0.02,30.0,3333,train,V_rmse_vs_noisy,0.5098816820514128
UDE,full,0.4,0.02,30.0,3333,train,ICa_rmse,1.1419344094251207
UDE,full,0.4,0.02,30.0,3333,train,ICa_rmse_norm,0.6079207428963447
UDE,full,0.4,0.02,30.0,3333,forecast,V_rmse,0.47943823058461665
UDE,full,0.4,0.02,30.0,3333,forecast,m_rmse,0.00527340640721769
UDE,full,0.4,0.02,30.0,3333,forecast,h_rmse,0.0014575071675182046
UDE,full,0.4,0.02,30.0,3333,forecast,n_rmse,0.0012949305416560272
UDE,full,0.4,0.02,30.0,3333,forecast,p_rmse,0.003510809690144535
UDE,full,0.4,0.02,30.0,3333,forecast,s_rmse,0.000802810282306277
UDE,full,0.4,0.02,30.0,3333,forecast,gate_rmse_mean,0.0024678928177685466
UDE,full,0.4,0.02,30.0,3333,forecast,V_rmse_vs_noisy,0.7340382120934823
UDE,full,0.4,0.02,30.0,3333,forecast,ICa_rmse,1.0526097488795891
UDE,full,0.4,0.02,30.0,3333,forecast,ICa_rmse_norm,0.5988678015737884
UDE,full,0.4,0.02,30.0,3333,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,0.4,0.02,30.0,3333,forecast,spike_count_diff,0.0
UDE,full,0.4,0.02,30.0,3333,forecast,rollout_horizon_ms,70.0
UDE,full,0.4,0.02,30.0,4444,train,V_rmse,0.10348363358130319
UDE,full,0.4,0.02,30.0,4444,train,m_rmse,0.0008795552210778216
UDE,full,0.4,0.02,30.0,4444,train,h_rmse,0.0003796174621315108
UDE,full,0.4,0.02,30.0,4444,train,n_rmse,0.00024236720639438122
UDE,full,0.4,0.02,30.0,4444,train,p_rmse,0.000679448948966227
UDE,full,0.4,0.02,30.0,4444,train,s_rmse,0.0002054210395157205
UDE,full,0.4,0.02,30.0,4444,train,gate_rmse_mean,0.0004772819756171323
UDE,full,0.4,0.02,30.0,4444,train,V_rmse_vs_noisy,0.5078023147020534
UDE,full,0.4,0.02,30.0,4444,train,ICa_rmse,0.9647195776183247
UDE,full,0.4,0.02,30.0,4444,train,ICa_rmse_norm,0.5135785711261871
UDE,full,0.4,0.02,30.0,4444,forecast,V_rmse,0.07660320853262514
UDE,full,0.4,0.02,30.0,4444,forecast,m_rmse,0.0006272151496493075
UDE,full,0.4,0.02,30.0,4444,forecast,h_rmse,0.00047060625344929577
UDE,full,0.4,0.02,30.0,4444,forecast,n_rmse,0.0002437816030479949
UDE,full,0.4,0.02,30.0,4444,forecast,p_rmse,0.0007994193537388354
UDE,full,0.4,0.02,30.0,4444,forecast,s_rmse,0.0001703857727603057
UDE,full,0.4,0.02,30.0,4444,forecast,gate_rmse_mean,0.0004622816265291479
UDE,full,0.4,0.02,30.0,4444,forecast,V_rmse_vs_noisy,0.5450899825475224
UDE,full,0.4,0.02,30.0,4444,forecast,ICa_rmse,0.8445898853924404
UDE,full,0.4,0.02,30.0,4444,forecast,ICa_rmse_norm,0.48051776875029517
UDE,full,0.4,0.02,30.0,4444,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,0.4,0.02,30.0,4444,forecast,spike_count_diff,0.0
UDE,full,0.4,0.02,30.0,4444,forecast,rollout_horizon_ms,70.0
UDE,full,0.4,0.02,30.0,5555,train,V_rmse,0.1661854829283659
UDE,full,0.4,0.02,30.0,5555,train,m_rmse,0.0017066333722771112
UDE,full,0.4,0.02,30.0,5555,train,h_rmse,0.0009678597355240796
UDE,full,0.4,0.02,30.0,5555,train,n_rmse,0.0006258034948498035
UDE,full,0.4,0.02,30.0,5555,train,p_rmse,0.001524484439383117
UDE,full,0.4,0.02,30.0,5555,train,s_rmse,0.00023424346785164913
UDE,full,0.4,0.02,30.0,5555,train,gate_rmse_mean,0.001011804901977152
UDE,full,0.4,0.02,30.0,5555,train,V_rmse_vs_noisy,0.5109903320621291
UDE,full,0.4,0.02,30.0,5555,train,ICa_rmse,0.8414268330216423
UDE,full,0.4,0.02,30.0,5555,train,ICa_rmse_norm,0.4479423872347872
UDE,full,0.4,0.02,30.0,5555,forecast,V_rmse,0.21584844346097176
UDE,full,0.4,0.02,30.0,5555,forecast,m_rmse,0.002393588357407114
UDE,full,0.4,0.02,30.0,5555,forecast,h_rmse,0.0012311899723350874
UDE,full,0.4,0.02,30.0,5555,forecast,n_rmse,0.0008099014633740168
UDE,full,0.4,0.02,30.0,5555,forecast,p_rmse,0.002129022022166393
UDE,full,0.4,0.02,30.0,5555,forecast,s_rmse,0.00036120672144083067
UDE,full,0.4,0.02,30.0,5555,forecast,gate_rmse_mean,0.0013849817073446887
UDE,full,0.4,0.02,30.0,5555,forecast,V_rmse_vs_noisy,0.57198614223819
UDE,full,0.4,0.02,30.0,5555,forecast,ICa_rmse,0.7674642049761042
UDE,full,0.4,0.02,30.0,5555,forecast,ICa_rmse_norm,0.4366381764085208
UDE,full,0.4,0.02,30.0,5555,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,0.4,0.02,30.0,5555,forecast,spike_count_diff,0.0
UDE,full,0.4,0.02,30.0,5555,forecast,rollout_horizon_ms,70.0
UDE,full,1.0,0.02,30.0,2222,train,V_rmse,0.16856476627131262
UDE,full,1.0,0.02,30.0,2222,train,m_rmse,0.0016962048671532554
UDE,full,1.0,0.02,30.0,2222,train,h_rmse,0.0006569492264460541
UDE,full,1.0,0.02,30.0,2222,train,n_rmse,0.0004286205814149234
UDE,full,1.0,0.02,30.0,2222,train,p_rmse,0.0015425369390201934
UDE,full,1.0,0.02,30.0,2222,train,s_rmse,0.00033905818804478595
UDE,full,1.0,0.02,30.0,2222,train,gate_rmse_mean,0.0009326739604158425
UDE,full,1.0,0.02,30.0,2222,train,V_rmse_vs_noisy,0.48676517218979276
UDE,full,1.0,0.02,30.0,2222,train,ICa_rmse,2.75700205426758
UDE,full,1.0,0.02,30.0,2222,train,ICa_rmse_norm,0.5892353294680325
UDE,full,1.0,0.02,30.0,2222,forecast,V_rmse,0.2257856577976107
UDE,full,1.0,0.02,30.0,2222,forecast,m_rmse,0.0025248571789196804
UDE,full,1.0,0.02,30.0,2222,forecast,h_rmse,0.0006114678017272719
UDE,full,1.0,0.02,30.0,2222,forecast,n_rmse,0.0004936640828035402
UDE,full,1.0,0.02,30.0,2222,forecast,p_rmse,0.0018634800092092686
UDE,full,1.0,0.02,30.0,2222,forecast,s_rmse,0.0004269642714156938
UDE,full,1.0,0.02,30.0,2222,forecast,gate_rmse_mean,0.001184086668815091
UDE,full,1.0,0.02,30.0,2222,forecast,V_rmse_vs_noisy,0.5822649304460896
UDE,full,1.0,0.02,30.0,2222,forecast,ICa_rmse,1.8800110983009308
UDE,full,1.0,0.02,30.0,2222,forecast,ICa_rmse_norm,0.43280479356019835
UDE,full,1.0,0.02,30.0,2222,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,1.0,0.02,30.0,2222,forecast,spike_count_diff,0.0
UDE,full,1.0,0.02,30.0,2222,forecast,rollout_horizon_ms,70.0
UDE,full,1.0,0.02,30.0,3333,train,V_rmse,0.17070000382163272
UDE,full,1.0,0.02,30.0,3333,train,m_rmse,0.00198980076976609
UDE,full,1.0,0.02,30.0,3333,train,h_rmse,0.0008425493271205555
UDE,full,1.0,0.02,30.0,3333,train,n_rmse,0.0004754841723132421
UDE,full,1.0,0.02,30.0,3333,train,p_rmse,0.0017369755381215274
UDE,full,1.0,0.02,30.0,3333,train,s_rmse,0.00017952577518341048
UDE,full,1.0,0.02,30.0,3333,train,gate_rmse_mean,0.0010448671165009652
UDE,full,1.0,0.02,30.0,3333,train,V_rmse_vs_noisy,0.4994382483288794
UDE,full,1.0,0.02,30.0,3333,train,ICa_rmse,1.3434556783621798
UDE,full,1.0,0.02,30.0,3333,train,ICa_rmse_norm,0.2871276602932151
UDE,full,1.0,0.02,30.0,3333,forecast,V_rmse,0.2744463435395487
UDE,full,1.0,0.02,30.0,3333,forecast,m_rmse,0.0032076713105717077
UDE,full,1.0,0.02,30.0,3333,forecast,h_rmse,0.0010934452966990954
UDE,full,1.0,0.02,30.0,3333,forecast,n_rmse,0.0008003659352188969
UDE,full,1.0,0.02,30.0,3333,forecast,p_rmse,0.002571044279431254
UDE,full,1.0,0.02,30.0,3333,forecast,s_rmse,0.0004181778342612464
UDE,full,1.0,0.02,30.0,3333,forecast,gate_rmse_mean,0.0016181409312364399
UDE,full,1.0,0.02,30.0,3333,forecast,V_rmse_vs_noisy,0.593524957045776
UDE,full,1.0,0.02,30.0,3333,forecast,ICa_rmse,1.2162470357721682
UDE,full,1.0,0.02,30.0,3333,forecast,ICa_rmse_norm,0.2799970424170957
UDE,full,1.0,0.02,30.0,3333,forecast,spike_mean_abs_dev_ms,0.03261578604044265
UDE,full,1.0,0.02,30.0,3333,forecast,spike_count_diff,0.0
UDE,full,1.0,0.02,30.0,3333,forecast,rollout_horizon_ms,70.0
UDE,full,1.0,0.02,30.0,4444,train,V_rmse,0.09758871394527184
UDE,full,1.0,0.02,30.0,4444,train,m_rmse,0.0008793707097046815
UDE,full,1.0,0.02,30.0,4444,train,h_rmse,0.0004876483650705519
UDE,full,1.0,0.02,30.0,4444,train,n_rmse,0.0003304054935111855
UDE,full,1.0,0.02,30.0,4444,train,p_rmse,0.00046231968753752083
UDE,full,1.0,0.02,30.0,4444,train,s_rmse,0.000159296456556954
UDE,full,1.0,0.02,30.0,4444,train,gate_rmse_mean,0.0004638081424761787
UDE,full,1.0,0.02,30.0,4444,train,V_rmse_vs_noisy,0.4976285616019077
UDE,full,1.0,0.02,30.0,4444,train,ICa_rmse,1.63619333602547
UDE,full,1.0,0.02,30.0,4444,train,ICa_rmse_norm,0.3496924922250334
UDE,full,1.0,0.02,30.0,4444,forecast,V_rmse,0.28989811903237395
UDE,full,1.0,0.02,30.0,4444,forecast,m_rmse,0.0027668140727244803
UDE,full,1.0,0.02,30.0,4444,forecast,h_rmse,0.0008891115744963465
UDE,full,1.0,0.02,30.0,4444,forecast,n_rmse,0.000791174269030301
UDE,full,1.0,0.02,30.0,4444,forecast,p_rmse,0.0018469103502171717
UDE,full,1.0,0.02,30.0,4444,forecast,s_rmse,0.00043991289249611346
UDE,full,1.0,0.02,30.0,4444,forecast,gate_rmse_mean,0.0013467846317928825
UDE,full,1.0,0.02,30.0,4444,forecast,V_rmse_vs_noisy,0.5764289367368612
UDE,full,1.0,0.02,30.0,4444,forecast,ICa_rmse,1.4970672098012499
UDE,full,1.0,0.02,30.0,4444,forecast,ICa_rmse_norm,0.34464576579858974
UDE,full,1.0,0.02,30.0,4444,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,1.0,0.02,30.0,4444,forecast,spike_count_diff,0.0
UDE,full,1.0,0.02,30.0,4444,forecast,rollout_horizon_ms,70.0
UDE,full,1.0,0.02,30.0,5555,train,V_rmse,0.16428510121437287
UDE,full,1.0,0.02,30.0,5555,train,m_rmse,0.0017455892145990658
