gCa_true,seed,gCa,ECa,sse_full,sse_v,chi2
2.0,1111,0.0,0.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,3.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,6.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,9.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,12.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,15.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,18.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,21.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,24.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,27.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,30.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,33.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,36.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,39.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,42.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,45.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,48.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,51.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,54.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,57.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,60.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,63.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,66.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,69.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,72.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,75.0,17889.363621239783,17886.174813440874,219162.50022470628
