gCa,ECa_hat,chi2,gCa_true,delta_chi2,within_95
0.0,0.0,219162.50022470628,2.0,218221.07548076662,false
0.0625,6124.01455708146,1113.90448785888,2.0,172.47974391921218,false
0.125,3025.024667471647,1102.169635097223,2.0,160.74489115755512,false
0.1875,1992.025462251901,1090.8521990681832,2.0,149.42745512851536,false
0.25,1475.5245719671245,1079.951714117081,2.0,138.52697017741332,false
0.3125,1165.6224282026287,1069.4677177094509,2.0,128.0429737697831,false
0.375,959.0200332701204,1059.3997917643228,2.0,117.97504782465501,false
0.4375,811.446158218384,1049.747459278001,2.0,108.3227153383333,false
0.5,700.7646341562269,1040.5102670637887,2.0,99.08552312412087,false
0.5625,614.6782730579376,1031.6877636995735,2.0,90.26301975990566,false
0.625,545.8086977243423,1023.2794996377161,2.0,81.85475569804828,false
0.6875,489.4601870059968,1015.2850268938879,2.0,73.86028295422011,false
0.75,442.50254628658297,1007.7039112035269,2.0,66.27916726385911,false
0.8125,402.76876177787767,1000.535681470659,2.0,59.11093753099124,false
0.875,368.7106190204622,993.7799070695133,2.0,52.35516312984555,false
0.9375,339.193282967806,987.436145533637,2.0,46.011401593969254,false
1.0,313.3650997459889,981.5039558295018,2.0,40.07921188983403,false
1.0625,290.57521722316744,975.9828979577968,2.0,34.55815401812902,false
1.125,270.3171602010725,970.8725350962092,2.0,29.44779115654137,false
1.1875,252.19117706418038,966.1724298630958,2.0,24.74768592342798,false
1.25,235.87747881412508,961.8821462712392,2.0,20.457402331571416,false
1.3125,221.11714236140253,958.001251276842,2.0,16.576507337174235,false
1.375,207.69833135604856,954.5293118526782,2.0,13.104567913010442,false
1.4375,195.4461782515049,951.4658968950209,2.0,10.041152955353141,false
1.5,184.2147636651993,948.8105764356836,2.0,7.385832496015837,false
1.5625,173.8814973831177,946.562922106765,2.0,5.1381781670971804,false
1.625,164.34291722774503,944.7225069013341,2.0,3.297762961666308,true
1.6875,155.51073331832887,943.2889051406596,2.0,1.8641612009918163,true
1.75,147.30909848809242,942.2616925093143,2.0,0.8369485696465517,true
1.8125,139.67290644645695,941.6404460145426,2.0,0.2157020748747982,true
1.875,132.54557814598084,941.4247439396678,2.0,0.0,true
1.9375,125.87773132324222,941.6141579200485,2.0,0.18941398038066382,true
2.0,119.62665266990658,942.208291910558,2.0,0.783547970890254,true
2.0625,113.75412678718564,943.2067017879463,2.0,1.7819578482784664,true
2.125,108.22689082622526,944.6089990386217,2.0,3.1842550989539404,true
2.1875,103.01530250906941,946.414743286705,2.0,4.9899993470371555,false
2.25,98.09308121204376,948.6235368917132,2.0,7.198792952045437,false
2.3125,93.43670625686644,951.2349553695906,2.0,9.810211429922788,false
2.375,89.02528047561643,954.248612366385,2.0,12.82386842671724,false
2.4375,84.83988885879518,957.6640642174734,2.0,16.239320277805632,false
2.5,80.8636242210865,961.4809191049518,2.0,20.056175165284003,false
2.5625,77.08117139339444,965.6987737063994,2.0,24.274029766731587,false
2.625,73.47867462635043,970.3171705948116,2.0,28.892426655143822,false
2.6875,70.04359018802646,975.3357816361832,2.0,33.91103769651545,false
2.75,66.76450457572935,980.7541887531253,2.0,39.329444813457485,false
2.8125,63.6310402393341,986.5719670796498,2.0,45.147223139981975,false
2.875,60.63364336490632,992.7887315139865,2.0,51.363987574318685,false
2.9375,57.76367902755737,999.4041179213204,2.0,57.97937398165266,false
3.0,55.0131511926651,1006.4176352620103,2.0,64.99289132234253,false
3.0625,52.37478032112121,1013.8289387739878,2.0,72.40419483432004,false
3.125,49.84179427623749,1021.6376465971931,2.0,80.21290265752532,false
3.1875,47.40799179077148,1029.8433317455426,2.0,88.41858780587484,false
3.25,45.06779565811157,1038.4456193451451,2.0,97.02087540547734,false
3.3125,42.815673732757574,1047.4441271136736,2.0,106.01938317400584,false
3.375,40.646883797645565,1056.838440728985,2.0,115.41369678931721,false
3.4375,38.556853103637685,1066.6281998630768,2.0,125.20345592340902,false
3.5,36.54135284423828,1076.8130032603724,2.0,135.3882593207046,false
