model,observed,gCa,noise_level,t_train_end,seed,window,metric,value
UDE,full,2.0,0.02,15.0,1111,train,V_rmse,0.22078988045803064
UDE,full,2.0,0.02,15.0,1111,train,m_rmse,0.0013813042980301367
UDE,full,2.0,0.02,15.0,1111,train,h_rmse,0.0012135998363274776
UDE,full,2.0,0.02,15.0,1111,train,n_rmse,0.0005465556359182843
UDE,full,2.0,0.02,15.0,1111,train,p_rmse,0.0010241055475279674
UDE,full,2.0,0.02,15.0,1111,train,s_rmse,0.00016982502564379448
UDE,full,2.0,0.02,15.0,1111,train,gate_rmse_mean,0.0008670780686895321
UDE,full,2.0,0.02,15.0,1111,train,V_rmse_vs_noisy,0.428103252445052
UDE,full,2.0,0.02,15.0,1111,train,ICa_rmse,2.567025667448038
UDE,full,2.0,0.02,15.0,1111,train,ICa_rmse_norm,0.2890098854801492
UDE,full,2.0,0.02,15.0,1111,forecast,V_rmse,1.2615994345773842
UDE,full,2.0,0.02,15.0,1111,forecast,m_rmse,0.012585380592259693
UDE,full,2.0,0.02,15.0,1111,forecast,h_rmse,0.0033309025707808793
UDE,full,2.0,0.02,15.0,1111,forecast,n_rmse,0.003233188628549534
UDE,full,2.0,0.02,15.0,1111,forecast,p_rmse,0.007810231343827224
UDE,full,2.0,0.02,15.0,1111,forecast,s_rmse,0.002053461798134093
UDE,full,2.0,0.02,15.0,1111,forecast,gate_rmse_mean,0.005802632986710284
UDE,full,2.0,0.02,15.0,1111,forecast,V_rmse_vs_noisy,1.413506000535647
UDE,full,2.0,0.02,15.0,1111,forecast,ICa_rmse,1.9808456084242982
UDE,full,2.0,0.02,15.0,1111,forecast,ICa_rmse_norm,0.22725587755907972
UDE,full,2.0,0.02,15.0,1111,common_eval,V_rmse,1.5586033539127329
UDE,full,2.0,0.02,15.0,1111,common_eval,m_rmse,0.015724731673023563
UDE,full,2.0,0.02,15.0,1111,common_eval,h_rmse,0.003957576397992224
UDE,full,2.0,0.02,15.0,1111,common_eval,n_rmse,0.0039916473930550365
UDE,full,2.0,0.02,15.0,1111,common_eval,p_rmse,0.00975610844096805
UDE,full,2.0,0.02,15.0,1111,common_eval,s_rmse,0.002584383104937507
UDE,full,2.0,0.02,15.0,1111,common_eval,gate_rmse_mean,0.007202889401995276
UDE,full,2.0,0.02,15.0,1111,common_eval,V_rmse_vs_noisy,1.6947474044067934
UDE,full,2.0,0.02,15.0,1111,common_eval,ICa_rmse,2.015181655613941
UDE,full,2.0,0.02,15.0,1111,common_eval,ICa_rmse_norm,0.22914081554802668
UDE,full,2.0,0.02,15.0,1111,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,15.0,1111,forecast,spike_count_diff,0.0
UDE,full,2.0,0.02,15.0,1111,forecast,rollout_horizon_ms,70.0
UDE,full,2.0,0.02,15.0,1111,common_eval,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,15.0,1111,common_eval,spike_count_diff,0.0
UDE,full,2.0,0.02,15.0,1111,common_eval,rollout_horizon_ms,49.90215264187867
UDE,full,2.0,0.02,20.0,1111,train,V_rmse,0.21591201961690443
UDE,full,2.0,0.02,20.0,1111,train,m_rmse,0.0013090683021408061
UDE,full,2.0,0.02,20.0,1111,train,h_rmse,0.0005990587813822129
UDE,full,2.0,0.02,20.0,1111,train,n_rmse,0.00046177980322577625
UDE,full,2.0,0.02,20.0,1111,train,p_rmse,0.0009335299296512577
UDE,full,2.0,0.02,20.0,1111,train,s_rmse,0.00020850494010262523
UDE,full,2.0,0.02,20.0,1111,train,gate_rmse_mean,0.0007023883513005356
UDE,full,2.0,0.02,20.0,1111,train,V_rmse_vs_noisy,0.4465585416729495
UDE,full,2.0,0.02,20.0,1111,train,ICa_rmse,2.5395974901931124
UDE,full,2.0,0.02,20.0,1111,train,ICa_rmse_norm,0.2725501633352789
UDE,full,2.0,0.02,20.0,1111,forecast,V_rmse,0.2096684793922815
UDE,full,2.0,0.02,20.0,1111,forecast,m_rmse,0.0018428504019258947
UDE,full,2.0,0.02,20.0,1111,forecast,h_rmse,0.0008298289697327034
UDE,full,2.0,0.02,20.0,1111,forecast,n_rmse,0.0005098005204707893
UDE,full,2.0,0.02,20.0,1111,forecast,p_rmse,0.0014146904949352394
