seed,domain,n,a_hat,b_hat,Erev,r2_vs_true_on_domain,r2_vs_nn_on_domain,cond,a_sanity_true_current,b_sanity_true_current
1111,hull,4424,1.2008867470051496,-289.4676399657326,241.0449117601023,0.9798558642320223,0.9909360950115775,69.86974830325174,2.0,-239.99999999999997
1111,tube0.02,1280,1.1438040642401532,-289.0716118617409,252.72826080905355,0.9811677866603712,0.9958707868518422,70.35705279944669,1.9999999999999982,-240.00000000000009
1111,tube0.05,3416,1.2188124306295511,-288.90751613741304,237.04017851884242,0.9734708143488346,0.9928711054885783,55.116316928507345,1.9999999999999996,-240.00000000000009
1111,tube0.1,5663,1.247767095289614,-289.39804547514314,231.93274335221363,0.9591748736955357,0.9897091691965142,44.51283417322329,1.9999999999999987,-240.0
1111,traj-full,512,1.273494311769433,-285.09837373906146,223.8709439879137,0.9901364476257779,0.9967694064529911,102.92825568985337,1.9999999999999976,-240.00000000000006
1111,traj-train,154,1.2408727938278845,-286.6829202664507,231.03328696737879,0.9891037225640882,0.9965494297485312,102.43602726682069,2.0000000000000027,-240.00000000000003
2222,hull,4424,3.0948420627037336,-158.9879569693406,51.371912927422414,0.9375463606023796,0.9087498199953109,69.86974830325174,2.0,-239.99999999999997
2222,tube0.02,1280,2.7912433401935726,-184.76963921729595,66.1961773653465,0.9734404198119331,0.9528931217478434,70.35705279944669,1.9999999999999982,-240.00000000000009
2222,tube0.05,3416,2.549897585493162,-186.49277124844562,73.13735748033075,0.9623144639639264,0.9077331023091353,55.116316928507345,1.9999999999999996,-240.00000000000009
2222,tube0.1,5663,2.218922649575747,-196.78795185884604,88.68626037796831,0.9608605071771954,0.8723157048197259,44.51283417322329,1.9999999999999987,-240.0
2222,traj-full,512,2.8182870154365833,-187.49448309310318,66.52781709816672,0.9864168562391966,0.9823666636704408,102.92825568985337,1.9999999999999976,-240.00000000000006
2222,traj-train,154,2.8156936899025493,-187.4886248396231,66.58701033851166,0.9859367588335782,0.9759840749352446,102.43602726682069,2.0000000000000027,-240.00000000000003
3333,hull,4424,1.474806314429081,-264.896010155984,179.61410089197312,0.9955827519465718,0.9837345415359412,69.86974830325174,2.0,-239.99999999999997
3333,tube0.02,1280,1.126933416359993,-265.1179845949027,235.25612138757643,0.9897357904705276,0.9898348798101877,70.35705279944669,1.9999999999999982,-240.00000000000009
3333,tube0.05,3416,1.1100530326148805,-269.82236162038345,243.0715954036721,0.9866698024993552,0.9858293738447496,55.116316928507345,1.9999999999999996,-240.00000000000009
3333,tube0.1,5663,1.1369157129586016,-272.7180631529532,239.87535755245884,0.9786552119209873,0.9821448622198211,44.51283417322329,1.9999999999999987,-240.0
3333,traj-full,512,1.565906187425064,-255.8390245109321,163.3808120597743,0.9975069418968853,0.9883708855188365,102.92825568985337,1.9999999999999976,-240.00000000000006
3333,traj-train,154,1.6069302095965408,-253.6281571311847,157.8339591953183,0.9977781813600193,0.9872253365737076,102.43602726682069,2.0000000000000027,-240.00000000000003
4444,hull,4424,0.6730558988367624,-314.7219056159927,467.60143720592043,0.9570770836457865,0.9805608160334451,69.86974830325174,2.0,-239.99999999999997
4444,tube0.02,1280,1.0684966616329108,-292.725739094107,273.96036843648545,0.9783547209288012,0.9831107681928278,70.35705279944669,1.9999999999999982,-240.00000000000009
4444,tube0.05,3416,0.8886181287475218,-299.2200218157105,336.7250927431014,0.9619263220152483,0.9780644278101422,55.116316928507345,1.9999999999999996,-240.00000000000009
4444,tube0.1,5663,0.9191574966908278,-300.29208992967125,326.70362915037936,0.9390986036599913,0.970992293234432,44.51283417322329,1.9999999999999987,-240.0
4444,traj-full,512,1.2862193303872722,-288.283618596668,224.13255016923725,0.9881121965727739,0.9894668639277864,102.92825568985337,1.9999999999999976,-240.00000000000006
4444,traj-train,154,1.3174714080897636,-286.78465009045476,217.67808267374193,0.9883724749162858,0.9889496296606604,102.43602726682069,2.0000000000000027,-240.00000000000003
5555,hull,4424,1.5341584879373467,-268.58845325501704,175.0721684668513,0.9933167624258414,0.8162285039553707,69.86974830325174,2.0,-239.99999999999997
5555,tube0.02,1280,0.9904573126623094,-287.5831828184103,290.3539396820629,0.9824943478017745,0.9481588135135501,70.35705279944669,1.9999999999999982,-240.00000000000009
5555,tube0.05,3416,1.1079764552365101,-285.53892320676243,257.712085719196,0.9774260501651391,0.8813314294253988,55.116316928507345,1.9999999999999996,-240.00000000000009
5555,tube0.1,5663,1.2580118207846342,-278.01676094440523,220.9969384635857,0.9754411404268744,0.8163464939428932,44.51283417322329,1.9999999999999987,-240.0
5555,traj-full,512,1.3013771751057788,-279.9001399267968,215.0799516704647,0.9923912380086877,0.9809286249911001,102.92825568985337,1.9999999999999976,-240.00000000000006
5555,traj-train,154,1.2419212743927832,-280.32207219242923,225.71645882263195,0.9917388168446584,0.9746437300460936,102.43602726682069,2.0000000000000027,-240.00000000000003
