model,observed,gCa,noise_level,t_train_end,seed,window,metric,value
UDE,full,2.0,0.02,30.0,1111,train,V_rmse,0.1308924323410108
UDE,full,2.0,0.02,30.0,1111,train,m_rmse,0.0008964133339212146
UDE,full,2.0,0.02,30.0,1111,train,h_rmse,0.00041153591474145585
UDE,full,2.0,0.02,30.0,1111,train,n_rmse,0.00039377533277391467
UDE,full,2.0,0.02,30.0,1111,train,p_rmse,0.0007364251356560924
UDE,full,2.0,0.02,30.0,1111,train,s_rmse,0.00028201033054416546
UDE,full,2.0,0.02,30.0,1111,train,gate_rmse_mean,0.0005440320095273685
UDE,full,2.0,0.02,30.0,1111,train,V_rmse_vs_noisy,0.4937099812620501
UDE,full,2.0,0.02,30.0,1111,train,ICa_rmse,1.1161800098390684
UDE,full,2.0,0.02,30.0,1111,train,ICa_rmse_norm,0.11982636888824583
UDE,full,2.0,0.02,30.0,1111,forecast,V_rmse,0.2191970340109573
UDE,full,2.0,0.02,30.0,1111,forecast,m_rmse,0.0018149332685121603
UDE,full,2.0,0.02,30.0,1111,forecast,h_rmse,0.0004733829702382431
UDE,full,2.0,0.02,30.0,1111,forecast,n_rmse,0.0005282755660819738
UDE,full,2.0,0.02,30.0,1111,forecast,p_rmse,0.0010113943610683752
UDE,full,2.0,0.02,30.0,1111,forecast,s_rmse,0.00037907559422187357
UDE,full,2.0,0.02,30.0,1111,forecast,gate_rmse_mean,0.0008414123520245252
UDE,full,2.0,0.02,30.0,1111,forecast,V_rmse_vs_noisy,0.5772275943586882
UDE,full,2.0,0.02,30.0,1111,forecast,ICa_rmse,0.9514209254399828
UDE,full,2.0,0.02,30.0,1111,forecast,ICa_rmse_norm,0.11229216448147902
UDE,full,2.0,0.02,30.0,1111,common_eval,V_rmse,0.23608373353853263
UDE,full,2.0,0.02,30.0,1111,common_eval,m_rmse,0.002003497810837973
UDE,full,2.0,0.02,30.0,1111,common_eval,h_rmse,0.0004799784195858227
UDE,full,2.0,0.02,30.0,1111,common_eval,n_rmse,0.0005637511584024114
UDE,full,2.0,0.02,30.0,1111,common_eval,p_rmse,0.001066760397737472
UDE,full,2.0,0.02,30.0,1111,common_eval,s_rmse,0.0004128286838685252
UDE,full,2.0,0.02,30.0,1111,common_eval,gate_rmse_mean,0.0009053632940864408
UDE,full,2.0,0.02,30.0,1111,common_eval,V_rmse_vs_noisy,0.5781372668187755
UDE,full,2.0,0.02,30.0,1111,common_eval,ICa_rmse,1.0078897986177453
UDE,full,2.0,0.02,30.0,1111,common_eval,ICa_rmse_norm,0.1146044029303384
UDE,full,2.0,0.02,30.0,1111,forecast,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,30.0,1111,forecast,spike_count_diff,0.0
UDE,full,2.0,0.02,30.0,1111,forecast,rollout_horizon_ms,70.0
UDE,full,2.0,0.02,30.0,1111,common_eval,spike_mean_abs_dev_ms,0.0
UDE,full,2.0,0.02,30.0,1111,common_eval,spike_count_diff,0.0
UDE,full,2.0,0.02,30.0,1111,common_eval,rollout_horizon_ms,70.0
UDE,full,2.0,0.02,30.0,2222,train,V_rmse,0.13694760291596145
UDE,full,2.0,0.02,30.0,2222,train,m_rmse,0.0013085500908287058
UDE,full,2.0,0.02,30.0,2222,train,h_rmse,0.0003807680112815253
UDE,full,2.0,0.02,30.0,2222,train,n_rmse,0.0004318497507493965
UDE,full,2.0,0.02,30.0,2222,train,p_rmse,0.0010872115120416778
UDE,full,2.0,0.02,30.0,2222,train,s_rmse,0.00032164813883762283
UDE,full,2.0,0.02,30.0,2222,train,gate_rmse_mean,0.0007060055007477856
