model,observed,gCa,noise_level,t_train_end,seed,window,metric,value
NODE,full,2.0,0.02,30.0,1111,train,V_rmse,6.04123944846854
NODE,full,2.0,0.02,30.0,1111,train,m_rmse,0.06504761380205587
NODE,full,2.0,0.02,30.0,1111,train,h_rmse,0.016171825733345267
NODE,full,2.0,0.02,30.0,1111,train,n_rmse,0.022846847585412455
NODE,full,2.0,0.02,30.0,1111,train,p_rmse,0.04471935997511141
NODE,full,2.0,0.02,30.0,1111,train,s_rmse,0.015638639151992692
NODE,full,2.0,0.02,30.0,1111,train,gate_rmse_mean,0.032884857249583545
NODE,full,2.0,0.02,30.0,1111,train,V_rmse_vs_noisy,6.080134682545722
NODE,full,2.0,0.02,30.0,1111,forecast,V_rmse,4122.72611305464
NODE,full,2.0,0.02,30.0,1111,forecast,m_rmse,42.49759232039433
NODE,full,2.0,0.02,30.0,1111,forecast,h_rmse,17.879997082730082
NODE,full,2.0,0.02,30.0,1111,forecast,n_rmse,3.0512425149279543
NODE,full,2.0,0.02,30.0,1111,forecast,p_rmse,15.293375554695334
NODE,full,2.0,0.02,30.0,1111,forecast,s_rmse,5.705196634902054
NODE,full,2.0,0.02,30.0,1111,forecast,gate_rmse_mean,16.885480821529953
NODE,full,2.0,0.02,30.0,1111,forecast,V_rmse_vs_noisy,4122.794846476032
NODE,full,2.0,0.02,30.0,1111,forecast,spike_mean_abs_dev_ms,NaN
NODE,full,2.0,0.02,30.0,1111,forecast,spike_count_diff,-6.0
NODE,full,2.0,0.02,30.0,1111,forecast,rollout_horizon_ms,0.7827788649706449
UDE,full,2.0,0.02,30.0,1111,train,V_rmse,0.1308924323410108
UDE,full,2.0,0.02,30.0,1111,train,m_rmse,0.0008964133339212146
UDE,full,2.0,0.02,30.0,1111,train,h_rmse,0.00041153591474145585
UDE,full,2.0,0.02,30.0,1111,train,n_rmse,0.00039377533277391467
UDE,full,2.0,0.02,30.0,1111,train,p_rmse,0.0007364251356560924
