model,observed,window,metric,mean,std,n_seeds
NODE,full,train,V_rmse,9.446102205357299,3.205954553302113,5
NODE,full,train,gate_rmse_mean,0.051746832922341265,0.01990866420126949,5
NODE,full,train,V_rmse_vs_noisy,9.446051069034203,3.1993047687459617,5
NODE,full,forecast,V_rmse,3951.178018885416,3561.340803031814,5
NODE,full,forecast,gate_rmse_mean,22.42276461238574,23.426120587854957,5
NODE,full,forecast,V_rmse_vs_noisy,3951.1798141975887,3561.3263034407264,5
NODE,full,forecast,rollout_horizon_ms,0.5479452054794521,0.6549197859366547,5
NODE,full,forecast,spike_mean_abs_dev_ms,1.2720156555772988,0.4151311826926876,2
UDE,full,train,V_rmse,0.14750473251115578,0.04544861830300034,5
UDE,full,train,gate_rmse_mean,0.0008021806474625467,0.0003586394699045913,5
UDE,full,train,V_rmse_vs_noisy,0.48134884129865074,0.012359910532320035,5
UDE,full,train,ICa_rmse,1.4391127161666273,0.32944484780205036,5
UDE,full,train,ICa_rmse_norm,0.15449448088934212,0.035367216320916,5
UDE,full,forecast,V_rmse,0.24523933188134714,0.028375840021892113,5
UDE,full,forecast,gate_rmse_mean,0.000951766817970978,0.00017026484222479465,5
UDE,full,forecast,V_rmse_vs_noisy,0.5693935281537895,0.017049729523850428,5
UDE,full,forecast,rollout_horizon_ms,70.0,0.0,5
UDE,full,forecast,ICa_rmse,1.189072098980375,0.20829298482831607,5
UDE,full,forecast,ICa_rmse_norm,0.1403411215254637,0.02458393492014376,5
UDE,full,forecast,spike_mean_abs_dev_ms,0.0,0.0,5
UDE,voltage,train,V_rmse,0.14343895990645933,0.03716390049584928,5
UDE,voltage,train,gate_rmse_mean,0.0008049840796693899,0.0003376007412516655,5
UDE,voltage,train,V_rmse_vs_noisy,0.48318522320829116,0.010080286078628826,5
UDE,voltage,train,ICa_rmse,1.5233275884846658,0.4954088606439952,5
UDE,voltage,train,ICa_rmse_norm,0.16353528279163815,0.05318411399841496,5
UDE,voltage,forecast,V_rmse,0.2635508680094284,0.11760231838630762,5
UDE,voltage,forecast,gate_rmse_mean,0.0010597619993722,0.0004335527474268237,5
UDE,voltage,forecast,V_rmse_vs_noisy,0.5822894125024046,0.06043533048310731,5
UDE,voltage,forecast,rollout_horizon_ms,70.0,0.0,5
UDE,voltage,forecast,ICa_rmse,1.3092265677039077,0.44677450570074734,5
UDE,voltage,forecast,ICa_rmse_norm,0.15452244233133955,0.05273089432742834,5
UDE,voltage,forecast,spike_mean_abs_dev_ms,0.0,0.0,5
