model,observed,gCa,noise_level,t_train_end,seed,window,metric,value
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,V_rmse,28.392452826128284
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,m_rmse,0.34553741121987364
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,h_rmse,0.2957115259266498
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,n_rmse,0.6863639613078493
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,p_rmse,0.2992983822852135
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,s_rmse,0.1792437677685005
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,gate_rmse_mean,0.36123100970161737
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,V_rmse_vs_noisy,28.4292024262802
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,V_rmse,25.403136156955384
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,m_rmse,0.32542607664307416
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,h_rmse,0.288658605856298
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,n_rmse,0.7085897934608328
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,p_rmse,0.3003972917267985
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,s_rmse,0.16700424291601926
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,gate_rmse_mean,0.35801520212060456
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,V_rmse_vs_noisy,25.447905141222915
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,spike_mean_abs_dev_ms,NaN
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,spike_count_diff,-6.0
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,rollout_horizon_ms,0.0
NODE_time_parity,full,2.0,0.02,30.0,1111,train,V_rmse,37.8642333238747
NODE_time_parity,full,2.0,0.02,30.0,1111,train,m_rmse,0.6889909975262464
NODE_time_parity,full,2.0,0.02,30.0,1111,train,h_rmse,0.32310028086678816
NODE_time_parity,full,2.0,0.02,30.0,1111,train,n_rmse,0.5276282683568376
NODE_time_parity,full,2.0,0.02,30.0,1111,train,p_rmse,0.39981271355285725
NODE_time_parity,full,2.0,0.02,30.0,1111,train,s_rmse,0.31453244492247384
NODE_time_parity,full,2.0,0.02,30.0,1111,train,gate_rmse_mean,0.45081294104504066
NODE_time_parity,full,2.0,0.02,30.0,1111,train,V_rmse_vs_noisy,37.904568727228074
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,V_rmse,571.4415682782035
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,m_rmse,2.9439121206786387
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,h_rmse,2.9747976265638827
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,n_rmse,3.378434335552996
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,p_rmse,3.0916311132843646
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,s_rmse,1.4835520746486714
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,gate_rmse_mean,2.7744654541457106
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,V_rmse_vs_noisy,571.3692196481346
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,spike_mean_abs_dev_ms,NaN
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,spike_count_diff,-6.0
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,rollout_horizon_ms,0.0
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,V_rmse,5.558146159346316
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,m_rmse,0.05663939397924151
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,h_rmse,0.059064504325006366
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,n_rmse,0.041022223454969614
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,p_rmse,0.05706134014245536
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,s_rmse,0.03463993128920069
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,gate_rmse_mean,0.049685478638174706
NODE_auto_parity,full,2.0,0.02,30.0,1111,train,V_rmse_vs_noisy,5.5236892289764405
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,V_rmse,34.46725459494015
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,m_rmse,0.4138943238647355
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,h_rmse,0.15245362249978714
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,n_rmse,0.15091518835944034
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,p_rmse,0.35745060569951737
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,s_rmse,0.09589285378354497
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,gate_rmse_mean,0.23412131884140508
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,V_rmse_vs_noisy,34.52918220165847
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,spike_mean_abs_dev_ms,1.2393998695368538
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,spike_count_diff,0.0
NODE_auto_parity,full,2.0,0.02,30.0,1111,forecast,rollout_horizon_ms,6.653620352250488
NODE_time_parity,full,2.0,0.02,30.0,1111,train,V_rmse,8.35346311738011
NODE_time_parity,full,2.0,0.02,30.0,1111,train,m_rmse,0.08099860977084153
NODE_time_parity,full,2.0,0.02,30.0,1111,train,h_rmse,0.02366455523311896
NODE_time_parity,full,2.0,0.02,30.0,1111,train,n_rmse,0.04009846709553025
NODE_time_parity,full,2.0,0.02,30.0,1111,train,p_rmse,0.053679042465849466
NODE_time_parity,full,2.0,0.02,30.0,1111,train,s_rmse,0.029215765473047318
NODE_time_parity,full,2.0,0.02,30.0,1111,train,gate_rmse_mean,0.04553128800767751
NODE_time_parity,full,2.0,0.02,30.0,1111,train,V_rmse_vs_noisy,8.400329834990265
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,V_rmse,7193.148920346262
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,m_rmse,61.049258800388245
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,h_rmse,17.090235252808508
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,n_rmse,23.183777660144393
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,p_rmse,41.528526963711435
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,s_rmse,5.4637050230162725
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,gate_rmse_mean,29.66310074001377
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,V_rmse_vs_noisy,7193.211956742382
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,spike_mean_abs_dev_ms,NaN
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,spike_count_diff,-6.0
NODE_time_parity,full,2.0,0.02,30.0,1111,forecast,rollout_horizon_ms,0.7827788649706449
NODE_time_parity,full,2.0,0.02,30.0,2222,train,V_rmse,9.256638566483861
NODE_time_parity,full,2.0,0.02,30.0,2222,train,m_rmse,0.09397078530963711
NODE_time_parity,full,2.0,0.02,30.0,2222,train,h_rmse,0.05073120945473761
NODE_time_parity,full,2.0,0.02,30.0,2222,train,n_rmse,0.048094007230120125
NODE_time_parity,full,2.0,0.02,30.0,2222,train,p_rmse,0.04696220970154994
NODE_time_parity,full,2.0,0.02,30.0,2222,train,s_rmse,0.036225492382977724
NODE_time_parity,full,2.0,0.02,30.0,2222,train,gate_rmse_mean,0.0551967408158045
NODE_time_parity,full,2.0,0.02,30.0,2222,train,V_rmse_vs_noisy,9.252159866205483
NODE_time_parity,full,2.0,0.02,30.0,2222,forecast,V_rmse,274.5176471916351
NODE_time_parity,full,2.0,0.02,30.0,2222,forecast,m_rmse,1.299146203558717
NODE_time_parity,full,2.0,0.02,30.0,2222,forecast,h_rmse,0.27044185589412933
NODE_time_parity,full,2.0,0.02,30.0,2222,forecast,n_rmse,2.098879448307643
NODE_time_parity,full,2.0,0.02,30.0,2222,forecast,p_rmse,3.0783473960132715
NODE_time_parity,full,2.0,0.02,30.0,2222,forecast,s_rmse,0.4013341449676131
NODE_time_parity,full,2.0,0.02,30.0,2222,forecast,gate_rmse_mean,1.4296298097482747
NODE_time_parity,full,2.0,0.02,30.0,2222,forecast,V_rmse_vs_noisy,274.5615179855252
NODE_time_parity,full,2.0,0.02,30.0,2222,forecast,spike_mean_abs_dev_ms,0.7175472928897572
NODE_time_parity,full,2.0,0.02,30.0,2222,forecast,spike_count_diff,1.0
NODE_time_parity,full,2.0,0.02,30.0,2222,forecast,rollout_horizon_ms,0.0
NODE_auto_parity,full,2.0,0.02,30.0,2222,train,V_rmse,2.4446989450298107
NODE_auto_parity,full,2.0,0.02,30.0,2222,train,m_rmse,0.02590343439153871
NODE_auto_parity,full,2.0,0.02,30.0,2222,train,h_rmse,0.02409650565232619
NODE_auto_parity,full,2.0,0.02,30.0,2222,train,n_rmse,0.02233631322818683
NODE_auto_parity,full,2.0,0.02,30.0,2222,train,p_rmse,0.01817660956354954
NODE_auto_parity,full,2.0,0.02,30.0,2222,train,s_rmse,0.014521972507950578
