variant,seed,adam_iters,bfgs_iters,nparam,final_loss,bfgs_ok,status
autonomous,1111,5000,300,5254,2.4509522181175525,true,ok
autonomous,2222,5000,300,5254,0.45706292642883994,true,ok
autonomous,3333,5000,300,5254,1.585474179791146,true,ok
autonomous,4444,5000,300,5254,2.6906949368454565,true,ok
autonomous,5555,5000,300,5254,7.789730372932185,true,ok
timeinput,1111,5000,300,5318,3.0031721809099725,true,ok
timeinput,2222,5000,300,5318,3.9583411660709116,true,ok
timeinput,3333,5000,300,5318,5.531663621352651,true,ok
timeinput,4444,5000,300,5318,2.661041418307643,true,ok
timeinput,5555,5000,300,5318,3.8524996181135283,true,ok
