seed,domain,n,a_hat,b_hat,Erev,r2_vs_true_on_domain,r2_vs_nn_on_domain,cond,a_sanity_true_current,b_sanity_true_current,objective,a_hat_published_sse
1111,traj-train,154,1.2408727938278845,-286.6829202664507,231.03328696737879,0.9891037225640882,0.9965494297485312,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,1.2408727938278845
1111,traj-train,154,2.763095637338657,-192.09709068246676,69.52241829294398,0.9884377433449323,0.9863659525328566,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
2222,traj-train,154,2.8156936899025493,-187.4886248396231,66.58701033851166,0.9859367588335782,0.9759840749352446,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,2.8156936899025493
2222,traj-train,154,1.6284067397190312,-259.94359216529585,159.6306290221736,0.997989400263199,0.9840495282920282,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
3333,traj-train,154,1.6069302095965408,-253.6281571311847,157.8339591953183,0.9977781813600193,0.9872253365737076,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,1.6069302095965408
3333,traj-train,154,2.1909412483358346,-227.85392879937177,103.99819208864773,0.9992521646929706,0.9932106880486037,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
4444,traj-train,154,1.3174714080897636,-286.78465009045476,217.67808267374193,0.9883724749162858,0.9889496296606604,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,1.3174714080897636
4444,traj-train,154,1.9181266568651545,-242.28236470171316,126.31197415173912,0.9998801246086125,0.9887319164081656,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
5555,traj-train,154,1.2419212743927832,-280.32207219242923,225.71645882263195,0.9917388168446584,0.9746437300460936,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,1.2419212743927832
5555,traj-train,154,1.5908693175852322,-260.77508892861647,163.91986824187728,0.9977259922828984,0.9964679446651479,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
6666,traj-train,154,-1.3200361447650557,-461.21332400372063,-349.3944660779034,0.7452124623858063,0.9751941772652798,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
6666,traj-train,154,0.9512318875505981,-303.55419840990265,319.1169286718807,0.9798896219826622,0.9866743546919163,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
7777,traj-train,154,1.794225665447737,-249.47998134852398,139.04604429246524,0.9994611808822901,0.9746827418270606,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
7777,traj-train,154,1.2133836534852311,-285.85265080865173,235.58307381807086,0.9895883612625678,0.9772672992243158,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
8888,traj-train,154,1.8200994597637585,-243.36086064924754,133.70745172400348,0.9991709413846533,0.9980866955991775,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
8888,traj-train,154,1.6145200730158866,-256.5670607003611,158.91227677405067,0.9981200899823925,0.9806753172639117,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
9999,traj-train,154,2.819590143512826,-193.93594315645618,68.78160771084211,0.9894569350235325,0.9808109762274249,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
9999,traj-train,154,2.2243638486029114,-234.11571380689324,105.25063781896012,0.9990426676776194,0.9833733742020052,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
11110,traj-train,154,2.595715813623621,-199.2061806105185,76.74421813242587,0.9911661752276355,0.9955623494952914,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
11110,traj-train,154,1.827991277275083,-251.3117677301702,137.47974120795098,0.9993393457967191,0.9955880329132656,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
12221,traj-train,154,1.9323593581662755,-241.70734256496354,125.08405413490648,0.9999096489324533,0.991065474275994,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
12221,traj-train,154,2.419392657679964,-216.60665119165725,89.52934965065512,0.9972759825901059,0.9937514070015249,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
13332,traj-train,154,1.8632051526482196,-252.10637839930862,135.30790103332615,0.9990071530661648,0.9766853818309978,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
13332,traj-train,154,1.932840938138363,-243.4448957271081,125.95185197266399,0.999938053258803,0.9951131325178955,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
14443,traj-train,154,-0.9191467105800735,-406.85047824098126,-442.63932357895067,0.8620371946969906,0.962749746967506,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
14443,traj-train,154,0.6098302203789578,-319.64702521190804,524.1574040284105,0.9685695027497813,0.9924600772069513,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
15554,traj-train,154,1.3922966216787935,-288.3838995637772,207.1282046321794,0.9857642016467211,0.9493632788390407,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
15554,traj-train,154,1.9353025622428401,-244.36397356022536,126.26654783995619,0.9999000092302357,0.9956491301242839,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
16665,traj-train,154,2.236250007528618,-230.9555745878951,103.27806542665355,0.999258607624767,0.9789322082374532,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
16665,traj-train,154,2.732859278711403,-198.61832360428298,72.67784519733318,0.9914991487667706,0.9958474616066263,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
17776,traj-train,154,3.1262811070450343,-164.83419438070132,52.72532722961143,0.9705513295587739,0.9865403626419799,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
17776,traj-train,154,2.283318018478665,-217.7367831091283,95.35981468503566,0.9970250049734516,0.9940664627350868,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
18887,traj-train,154,2.397921838816893,-224.18436632711084,93.49110663161599,0.9979431120277139,0.9606610391211058,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
18887,traj-train,154,2.111912025292309,-240.62720677293552,113.93808259585548,0.9992160482043337,0.9939232922046112,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
19998,traj-train,154,0.34625133728707835,-341.9650071560498,987.6207550139374,0.9479714486231734,0.97305750249227,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
19998,traj-train,154,1.368236090885649,-273.3519434038893,199.78419311169512,0.994321049539002,0.991293292820368,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
21109,traj-train,154,2.0558885516431724,-245.82707191958545,119.57217803616238,0.998564055854793,0.9888256832333896,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
21109,traj-train,154,2.716247526787863,-202.77622337792727,74.65307243840297,0.9928454722060036,0.9922245099984836,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
22220,traj-train,154,0.27476295667044465,-356.49350591137056,1297.4583991646114,0.9286946890131038,0.9723165041640232,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
22220,traj-train,154,1.0031407308946032,-302.1790120176027,301.2329204777866,0.9805701069562449,0.9942025492357389,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
23331,traj-train,154,1.7985557621387345,-252.96759484907216,140.65040415997905,0.9991423977541223,0.9953811360570808,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
23331,traj-train,154,2.1275823252408554,-231.78009958007206,108.94060212397804,0.9996552539864803,0.9959056174758144,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
24442,traj-train,154,1.352936514687685,-287.98928908848615,212.86238190929916,0.9869234672046118,0.9584451264934508,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
24442,traj-train,154,1.810894629523437,-252.23684798661375,139.28852837395266,0.9992341600158179,0.9979066583343996,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
25553,traj-train,154,2.0923097478225685,-225.53794200671834,107.79376344321479,0.9976879976750158,0.9044229764187617,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
25553,traj-train,154,2.7661141372540223,-194.65142736887432,70.36999115376662,0.989804936154287,0.945490767243221,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
26664,traj-train,154,1.6930685031566723,-265.270506474905,156.68031504945995,0.9959828457181198,0.9979503077159969,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
26664,traj-train,154,2.020693497144833,-241.65248910034893,119.58888838994889,0.9998610063485436,0.9941745370857399,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
27775,traj-train,154,1.750885693088287,-252.81768664073,144.39417012700545,0.9991446952346548,0.9881178155707734,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
27775,traj-train,154,3.1491274225320245,-165.6746256764363,52.6096926059687,0.9717535401580158,0.9498590616059956,102.43602726682069,2.0000000000000027,-240.00000000000003,chi2,nan
28886,traj-train,154,4.192949960829106,-119.4753764073272,28.49434825683023,0.927355710830276,0.9698848662705075,102.43602726682069,2.0000000000000027,-240.00000000000003,sse,nan
