seed,scaling,start_idx,gCa0,ECa0,gCa_hat,ECa_hat,chi2,bfgs_ok
1111,normalised,1,1.0,60.0,1.8770180622547303,132.32335003745854,941.4245331028404,true
1111,normalised,2,0.5,200.0,1.87701806226164,132.3233500367302,941.4245331029541,true
1111,normalised,3,3.0,80.0,1.8770180622518282,132.32335003777396,941.4245331024033,true
1111,raw,1,1.0,60.0,1.8770180075867346,132.32335561515268,941.4245331022663,true
1111,raw,2,0.5,200.0,1.8770180075871523,132.3233556151021,941.4245331021222,true
1111,raw,3,3.0,80.0,1.8770180075869007,132.32335561513975,941.4245331028345,true
2222,normalised,1,1.0,60.0,2.2112097447490418,101.60562105628748,953.092885401002,true
2222,normalised,2,0.5,200.0,2.211209744772412,101.60562105454316,953.092885399035,true
2222,normalised,3,3.0,80.0,2.211209744871276,101.60562104715274,953.0928853972,true
2222,raw,1,1.0,60.0,2.211209699700479,101.60562418402439,953.0928854000738,true
2222,raw,2,0.5,200.0,2.211209699700551,101.60562418401423,953.0928854000463,true
2222,raw,3,3.0,80.0,2.2112096997008623,101.60562418398592,953.0928854003175,true
3333,normalised,1,1.0,60.0,2.0739716091286042,112.36400030583482,886.8245859117975,true
3333,normalised,2,0.5,200.0,2.0739716091299965,112.36400030572253,886.8245859113516,true
3333,normalised,3,3.0,80.0,2.0739716091283267,112.36400030585642,886.8245859112378,true
3333,raw,1,1.0,60.0,2.073971553707183,112.36400470588694,886.8245859123291,true
3333,raw,2,0.5,200.0,2.0739715537086036,112.36400470576407,886.8245859129667,true
3333,raw,3,3.0,80.0,2.0739715537085543,112.36400470576643,886.8245859126099,true
4444,normalised,1,1.0,60.0,2.140821084556219,107.31088625827161,883.6564705376535,true
4444,normalised,2,0.5,200.0,2.140821084554947,107.31088625837684,883.6564705375895,true
4444,normalised,3,3.0,80.0,2.1408210845548896,107.3108862583742,883.6564705378026,true
4444,raw,1,1.0,60.0,2.140821046139294,107.31088927879655,883.6564705362437,true
4444,raw,2,0.5,200.0,2.14082104613578,107.31088927908617,883.6564705383331,true
4444,raw,3,3.0,80.0,2.1408210461573347,107.31088927724545,883.656470537432,true
5555,normalised,1,1.0,60.0,2.158903468349093,105.95097328659368,929.4958221316823,true
5555,normalised,2,0.5,200.0,2.1589034683504,105.95097328648164,929.4958221315757,true
5555,normalised,3,3.0,80.0,2.158903468349385,105.95097328657472,929.4958221297409,true
5555,raw,1,1.0,60.0,2.158903423628535,105.95097679358683,929.4958221337386,true
5555,raw,2,0.5,200.0,2.158903423626891,105.95097679372763,929.4958221344064,true
5555,raw,3,3.0,80.0,2.1589034236292655,105.95097679352806,929.4958221306381,true
6666,normalised,1,1.0,60.0,2.036693767667412,116.94230814255866,899.8362573007009,true
6666,normalised,2,0.5,200.0,2.0366937676628525,116.94230814297175,899.8362573012612,true
6666,normalised,3,3.0,80.0,2.036693767663211,116.94230814293564,899.8362573011672,true
6666,raw,1,1.0,60.0,2.036693716138015,116.94231266210868,899.8362573010565,true
6666,raw,2,0.5,200.0,2.0366937161329726,116.942312662582,899.8362573012666,true
6666,raw,3,3.0,80.0,2.0366937161337595,116.94231266251167,899.8362573004923,true
7777,normalised,1,1.0,60.0,1.9375888126750398,126.5188976339397,983.5426269199481,true
7777,normalised,2,0.5,200.0,1.9375888126671146,126.51889763470226,983.5426269196875,true
7777,normalised,3,3.0,80.0,1.937588812654409,126.51889763595922,983.5426269187288,true
7777,raw,1,1.0,60.0,1.937588770030988,126.51890181013074,983.5426269210228,true
7777,raw,2,0.5,200.0,1.9375887700329695,126.51890180992292,983.5426269209718,true
7777,raw,3,3.0,80.0,1.9375887700314733,126.5189018100867,983.5426269210133,true
8888,normalised,1,1.0,60.0,2.0098973212217808,118.68943773827468,976.5618541683133,true
8888,normalised,2,0.5,200.0,2.0098973212196447,118.68943773847928,976.56185416909,true
8888,normalised,3,3.0,80.0,2.0098973212194706,118.68943773849094,976.561854169346,true
8888,raw,1,1.0,60.0,2.009897321081662,118.68943765010954,976.5618541687869,true
8888,raw,2,0.5,200.0,2.009897321083488,118.68943764993034,976.5618541688523,true
8888,raw,3,3.0,80.0,2.009897321082106,118.68943765004927,976.5618541688983,true
9999,normalised,1,1.0,60.0,1.876496442175256,132.6407920729434,914.9156364939126,true
9999,normalised,2,0.5,200.0,1.8764964421750043,132.64079207296285,914.9156364942402,true
9999,normalised,3,3.0,80.0,1.8764964421739432,132.64079207307898,914.9156364938995,true
9999,raw,1,1.0,60.0,1.876496386688111,132.64079772995632,914.915636493565,true
9999,raw,2,0.5,200.0,1.876496386689085,132.6407977298514,914.9156364938227,true
9999,raw,3,3.0,80.0,1.876496386688766,132.6407977298877,914.9156364937279,true
11110,normalised,1,1.0,60.0,1.9153977908515312,128.82221966484673,1003.4146352760067,true
11110,normalised,2,0.5,200.0,1.915397790843765,128.82221966564802,1003.4146352739403,true
11110,normalised,3,3.0,80.0,1.9153977908529276,128.822219664701,1003.4146352762256,true
